Date of Posting,Creator Name,Post Link,Views,Plays,Likes,Comments,Engagement Score,Virality Score,Transcript,Topic,Take for the topic,Hook Format,Story Telling Flow,CTA
2024-11-10,Dr. Gaayatri Rathod,https://www.instagram.com/psychiatrist.mom/p/58475751604/,418302,273790,61861,4435,15.85,100,[Transcript for 'Handling sibling rivalry' — Relatable struggle format],Handling sibling rivalry,How this changed my relationship with my toddler overnight,Question hook,Problem > Agitate > Solve,Comment your experience below
2024-02-05,Mikita,https://www.instagram.com/moneyforkids/p/40958594991/,768911,690133,69013,6494,9.82,100,[Transcript for 'Digital detox for families' — Bold controversial statement format],Digital detox for families,Stop blaming yourself — it's a system problem,Stat shock,Before > Turning point > After,Save this for later
2025-01-31,Ankita B Chandak,https://www.instagram.com/followyourchild/p/78490546348/,207863,280742,30473,1570,15.42,100,[Transcript for 'Building emotional intelligence' — Relatable struggle format],Building emotional intelligence,Science-backed method that actually works,Stat shock,Before > Turning point > After,Follow for more parenting tips
2025-06-27,Swati Goyal,https://www.instagram.com/iamswatigoyal_/p/57150631197/,2441366,2828289,217888,19610,9.73,100,[Transcript for 'ADHD parenting tips' — Question hook format],ADHD parenting tips,Stop blaming yourself — it's a system problem,Story-based open loop,Question > Answer > Evidence > CTA,Comment your experience below
2024-01-24,Kriti S Gupta,https://www.instagram.com/explorewithmommy/p/80376423751/,2479831,3209637,123620,12618,5.49,100,[Transcript for 'Co-sleeping pros and cons' — Before vs After format],Co-sleeping pros and cons,The uncomfortable truth about modern childhood,Question hook,Before > Turning point > After,Share with a parent friend
2024-05-21,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/26916192071/,978915,685074,43950,2204,4.71,100,[Transcript for 'Sleep training methods' — Myth busting format],Sleep training methods,Stop blaming yourself — it's a system problem,Stat shock,Hook > Story > Lesson > CTA,Link in bio for the full guide
2025-05-21,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/61928604951/,968288,684809,65555,7748,7.57,100,[Transcript for 'Nature play benefits' — Relatable struggle format],Nature play benefits,What pediatricians wish parents knew,Before vs After,Myth > Truth > Example > CTA,Link in bio for the full guide
2024-09-16,Shweta Gandhi,https://www.instagram.com/schweta.happyminds/p/20794926549/,1050149,632277,152798,18068,16.27,100,[Transcript for 'Teaching consent to toddlers' — Stat shock format],Teaching consent to toddlers,How I changed my approach after 3 years of struggling,Bold controversial statement,Before > Turning point > After,Share with a parent friend
2024-11-21,Payal V. Narang,https://www.instagram.com/playfulparenthood/p/59830787598/,797040,615119,106610,3673,13.84,100,[Transcript for 'Sleep training methods' — Failure confession format],Sleep training methods,How I changed my approach after 3 years of struggling,Bold controversial statement,Myth > Truth > Example > CTA,Tag a mom who needs this
2025-04-19,Dr. Gaayatri Rathod,https://www.instagram.com/psychiatrist.mom/p/55308766932/,2381438,3134745,217402,5939,9.38,100,[Transcript for 'Age-appropriate chores' — Stat shock format],Age-appropriate chores,Science-backed method that actually works,Stat shock,Before > Turning point > After,Save this for later
2024-01-28,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/28855718822/,1347334,956598,83576,4496,6.54,100,[Transcript for 'Co-sleeping pros and cons' — Failure confession format],Co-sleeping pros and cons,Most parents are doing it wrong — here's what research says,Story-based open loop,Hook > Story > Lesson > CTA,Link in bio for the full guide
2024-11-13,Dr. Gaayatri Rathod,https://www.instagram.com/psychiatrist.mom/p/20934868445/,253645,218439,10827,1258,4.76,85.0,[Transcript for 'Digital detox for families' — Question hook format],Digital detox for families,Science-backed method that actually works,Story-based open loop,Problem > Agitate > Solve,Comment your experience below
2024-05-17,Rama Yadav,https://www.instagram.com/momofdiyan/p/12600021365/,1073579,857810,115956,13323,12.04,100,[Transcript for 'Age-appropriate chores' — Relatable struggle format],Age-appropriate chores,How I changed my approach after 3 years of struggling,Story-based open loop,Hook > Story > Lesson > CTA,DM me GUIDE for the free resource
2024-09-08,Dr. Gaayatri Rathod,https://www.instagram.com/psychiatrist.mom/p/36374607761/,1784888,1411410,155636,11168,9.35,100,[Transcript for 'Sleep training methods' — Relatable struggle format],Sleep training methods,The tiny habit that transformed our mornings,Failure confession,Question > Answer > Evidence > CTA,Link in bio for the full guide
2025-01-02,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/19142986517/,995031,1250320,64258,7087,7.17,100,[Transcript for 'Handling sibling rivalry' — Bold controversial statement format],Handling sibling rivalry,What pediatricians wish parents knew,Story-based open loop,Myth > Truth > Example > CTA,Link in bio for the full guide
2024-02-10,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/p/64826760940/,424964,373513,34761,2245,8.71,100,[Transcript for 'Co-sleeping pros and cons' — Before vs After format],Co-sleeping pros and cons,How this changed my relationship with my toddler overnight,Bold controversial statement,Problem > Agitate > Solve,Follow for more parenting tips
2025-02-08,Aditi K,https://www.instagram.com/this.mamas.diary/p/46922531768/,40481,38106,1634,53,4.17,14.0,[Transcript for 'Teaching consent to toddlers' — Failure confession format],Teaching consent to toddlers,How I changed my approach after 3 years of struggling,Myth busting,Before > Turning point > After,Save this for later
2024-09-14,Hollie Mayes,https://www.instagram.com/hollie_mayes/p/63902664105/,1716380,2108921,136287,3383,8.14,100,[Transcript for 'Teaching consent to toddlers' — Stat shock format],Teaching consent to toddlers,The one thing nobody tells new moms,Stat shock,Hook > Story > Lesson > CTA,Save this for later
2024-03-14,Mikita,https://www.instagram.com/moneyforkids/p/91332563798/,1574755,1594471,71367,3634,4.76,100,[Transcript for 'ADHD parenting tips' — Relatable struggle format],ADHD parenting tips,Most parents are doing it wrong — here's what research says,Failure confession,Question > Answer > Evidence > CTA,Comment your experience below
2024-03-29,Kriti S Gupta,https://www.instagram.com/explorewithmommy/p/35629385874/,821619,531303,106135,3789,13.38,100,[Transcript for 'Age-appropriate chores' — Story-based open loop format],Age-appropriate chores,Stop blaming yourself — it's a system problem,Myth busting,Before > Turning point > After,Comment your experience below
2024-07-08,Swati Goyal,https://www.instagram.com/iamswatigoyal_/p/82221809096/,2407402,1728511,143061,12859,6.48,100,[Transcript for 'Teaching consent to toddlers' — Myth busting format],Teaching consent to toddlers,Science-backed method that actually works,Failure confession,Myth > Truth > Example > CTA,Comment your experience below
2024-11-09,Arpita Axay Pithava,https://www.instagram.com/firsttimemom.official/p/71646274700/,84600,93092,10075,646,12.67,36.0,[Transcript for 'Sleep training methods' — Question hook format],Sleep training methods,The uncomfortable truth about modern childhood,Failure confession,Question > Answer > Evidence > CTA,Comment your experience below
2024-10-06,Vishruti Shah,https://www.instagram.com/vishruti_shah_unschooling/p/10695514017/,1493304,1275333,221691,21327,16.27,100,[Transcript for 'Co-sleeping pros and cons' — Story-based open loop format],Co-sleeping pros and cons,Most parents are doing it wrong — here's what research says,Failure confession,Problem > Agitate > Solve,Share with a parent friend
2025-03-10,3mguru,https://www.instagram.com/3mguru/reels/p/52219235720/,289141,361052,35245,2114,12.92,100,[Transcript for 'Screen time limits for toddlers' — Bold controversial statement format],Screen time limits for toddlers,The tiny habit that transformed our mornings,Myth busting,Question > Answer > Evidence > CTA,DM me GUIDE for the free resource
2024-07-30,Dr. Gaayatri Rathod,https://www.instagram.com/psychiatrist.mom/p/79577594052/,1279093,1399034,116324,13857,10.18,100,[Transcript for 'Unschooling vs traditional schooling' — Failure confession format],Unschooling vs traditional schooling,Most parents are doing it wrong — here's what research says,Relatable struggle,Myth > Truth > Example > CTA,DM me GUIDE for the free resource
2024-09-28,Aditi K,https://www.instagram.com/this.mamas.diary/p/89734339359/,1513102,1719583,168660,19502,12.44,100,[Transcript for 'Financial literacy for kids' — Stat shock format],Financial literacy for kids,Science-backed method that actually works,Relatable struggle,Question > Answer > Evidence > CTA,Link in bio for the full guide
2025-06-27,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/p/19549565142/,2239596,3083825,118294,3509,5.44,100,[Transcript for 'Raising confident girls' — Story-based open loop format],Raising confident girls,Science-backed method that actually works,Question hook,Myth > Truth > Example > CTA,Comment your experience below
2024-06-28,3mguru,https://www.instagram.com/3mguru/reels/p/70406417529/,663541,445375,90245,7050,14.66,100,[Transcript for 'Reducing mom guilt' — Bold controversial statement format],Reducing mom guilt,How I changed my approach after 3 years of struggling,Myth busting,Myth > Truth > Example > CTA,Link in bio for the full guide
2024-05-05,Mikita,https://www.instagram.com/moneyforkids/p/89592034455/,1567545,2166924,135931,9797,9.3,100,[Transcript for 'Age-appropriate chores' — Question hook format],Age-appropriate chores,Why gentle parenting is not permissive parenting,Myth busting,Hook > Story > Lesson > CTA,Tag a mom who needs this
2025-05-09,drtristha,https://www.instagram.com/drtristha/p/23274308577/,2424356,3378632,228685,22812,10.37,100,[Transcript for 'ADHD parenting tips' — Story-based open loop format],ADHD parenting tips,What pediatricians wish parents knew,Relatable struggle,Question > Answer > Evidence > CTA,Follow for more parenting tips
2025-02-01,Rama Yadav,https://www.instagram.com/momofdiyan/p/70967282695/,2303053,2366991,173173,13594,8.11,100,[Transcript for 'Nature play benefits' — Bold controversial statement format],Nature play benefits,How this changed my relationship with my toddler overnight,Stat shock,Before > Turning point > After,Follow for more parenting tips
2025-05-15,Swati Goyal,https://www.instagram.com/iamswatigoyal_/p/67324766827/,1535872,1908999,184479,4858,12.33,100,[Transcript for 'Digital detox for families' — Failure confession format],Digital detox for families,Stop blaming yourself — it's a system problem,Failure confession,Hook > Story > Lesson > CTA,Comment your experience below
2025-02-27,3mguru,https://www.instagram.com/3mguru/reels/p/74825148232/,2149757,1885846,266599,19918,13.33,100,[Transcript for 'Building emotional intelligence' — Story-based open loop format],Building emotional intelligence,The one thing nobody tells new moms,Question hook,Before > Turning point > After,Share with a parent friend
2024-05-16,Shivani Kapoor,https://www.instagram.com/cafeparent/p/89421603768/,346153,291371,51112,4976,16.2,72.0,[Transcript for 'Handling sibling rivalry' — Story-based open loop format],Handling sibling rivalry,What pediatricians wish parents knew,Question hook,Before > Turning point > After,Share with a parent friend
2024-07-30,Scott Donnell,https://www.instagram.com/imscottdonnell/p/68276970425/,1870117,1244917,193726,14028,11.11,100,[Transcript for 'Picky eater solutions' — Myth busting format],Picky eater solutions,Why gentle parenting is not permissive parenting,Story-based open loop,Question > Answer > Evidence > CTA,Comment your experience below
2025-01-16,Mikita,https://www.instagram.com/moneyforkids/p/50216540437/,45841,54256,2978,313,7.18,39.0,[Transcript for 'Co-sleeping pros and cons' — Relatable struggle format],Co-sleeping pros and cons,The uncomfortable truth about modern childhood,Story-based open loop,Problem > Agitate > Solve,Tag a mom who needs this
2025-06-03,Sangeetha,https://www.instagram.com/sangeetharofficial/p/67119381412/,1943855,2245293,269876,31872,15.52,100,[Transcript for 'Teaching consent to toddlers' — Story-based open loop format],Teaching consent to toddlers,The one thing nobody tells new moms,Before vs After,Before > Turning point > After,Tag a mom who needs this
2024-02-01,Anishkaa Malpani,https://www.instagram.com/anishkaa_malpani/p/95941860940/,796146,631416,34147,744,4.38,100,[Transcript for 'Picky eater solutions' — Myth busting format],Picky eater solutions,Most parents are doing it wrong — here's what research says,Before vs After,Question > Answer > Evidence > CTA,Tag a mom who needs this
2024-04-05,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/81957842820/,872599,1083404,118931,4210,14.11,100,[Transcript for 'Positive discipline techniques' — Bold controversial statement format],Positive discipline techniques,The tiny habit that transformed our mornings,Failure confession,Problem > Agitate > Solve,DM me GUIDE for the free resource
2024-04-11,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/60576808904/,1365130,1625061,88970,9231,7.19,100,[Transcript for 'Financial literacy for kids' — Stat shock format],Financial literacy for kids,How I changed my approach after 3 years of struggling,Before vs After,Question > Answer > Evidence > CTA,Link in bio for the full guide
2025-06-01,Dr. Gaayatri Rathod,https://www.instagram.com/psychiatrist.mom/p/12213899094/,1577877,1907028,153558,9666,10.34,100,[Transcript for 'Montessori at home' — Myth busting format],Montessori at home,Science-backed method that actually works,Myth busting,Myth > Truth > Example > CTA,Follow for more parenting tips
2024-08-22,Aditi K,https://www.instagram.com/this.mamas.diary/p/28232760702/,431797,294257,49776,1653,11.91,100,[Transcript for 'Unschooling vs traditional schooling' — Failure confession format],Unschooling vs traditional schooling,How this changed my relationship with my toddler overnight,Failure confession,Question > Answer > Evidence > CTA,Tag a mom who needs this
2024-01-06,Sangeetha,https://www.instagram.com/sangeetharofficial/p/35153337144/,71590,88155,8004,740,12.21,56.0,[Transcript for 'Teaching consent to toddlers' — Failure confession format],Teaching consent to toddlers,Stop blaming yourself — it's a system problem,Failure confession,Question > Answer > Evidence > CTA,DM me GUIDE for the free resource
2024-09-13,ParulYadav,https://www.instagram.com/the.corporate.momm/p/40892882262/,415060,344614,33941,1082,8.44,100,[Transcript for 'Montessori at home' — Story-based open loop format],Montessori at home,How this changed my relationship with my toddler overnight,Myth busting,Problem > Agitate > Solve,Link in bio for the full guide
2024-08-10,Ankita B Chandak,https://www.instagram.com/followyourchild/p/14950656975/,169837,139344,23413,2545,15.28,64.0,[Transcript for 'ADHD parenting tips' — Bold controversial statement format],ADHD parenting tips,Why gentle parenting is not permissive parenting,Failure confession,Myth > Truth > Example > CTA,Link in bio for the full guide
2024-08-02,Ankita B Chandak,https://www.instagram.com/followyourchild/p/83102845292/,2057535,2415541,99563,2289,4.95,100,[Transcript for 'Managing tantrums in public' — Myth busting format],Managing tantrums in public,The one thing nobody tells new moms,Question hook,Myth > Truth > Example > CTA,Tag a mom who needs this
2025-01-25,Lauren Mejia,https://www.instagram.com/motherhood.and.montessori/p/24115811844/,1702780,1660120,243968,25748,15.84,100,[Transcript for 'Managing tantrums in public' — Question hook format],Managing tantrums in public,Stop blaming yourself — it's a system problem,Question hook,Question > Answer > Evidence > CTA,Follow for more parenting tips
2025-04-21,Hollie Mayes,https://www.instagram.com/hollie_mayes/p/81939345040/,1708622,1648170,189452,10110,11.68,100,[Transcript for 'Raising confident girls' — Before vs After format],Raising confident girls,Science-backed method that actually works,Myth busting,Before > Turning point > After,Share with a parent friend
2024-01-29,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/65528433562/,1553348,1036765,190135,14563,13.18,100,[Transcript for 'Managing tantrums in public' — Failure confession format],Managing tantrums in public,Why gentle parenting is not permissive parenting,Bold controversial statement,Question > Answer > Evidence > CTA,Link in bio for the full guide
2024-11-20,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/p/80027989723/,1317829,1283126,66676,5001,5.44,100,[Transcript for 'ADHD parenting tips' — Before vs After format],ADHD parenting tips,What pediatricians wish parents knew,Question hook,Before > Turning point > After,Follow for more parenting tips
2025-04-19,Manita Jain,https://www.instagram.com/babyobooks/p/81169163173/,1261310,994499,85502,4391,7.13,100,[Transcript for 'Unschooling vs traditional schooling' — Relatable struggle format],Unschooling vs traditional schooling,How I changed my approach after 3 years of struggling,Failure confession,Question > Answer > Evidence > CTA,Link in bio for the full guide
2025-02-13,Ankita B Chandak,https://www.instagram.com/followyourchild/p/28389120193/,2009642,1330084,113697,3443,5.83,100,[Transcript for 'Sleep training methods' — Myth busting format],Sleep training methods,What pediatricians wish parents knew,Question hook,Question > Answer > Evidence > CTA,Comment your experience below
2024-01-20,Vishruti Shah,https://www.instagram.com/vishruti_shah_unschooling/p/79663557648/,1436868,921674,209291,12081,15.41,100,[Transcript for 'Teaching consent to toddlers' — Relatable struggle format],Teaching consent to toddlers,Why gentle parenting is not permissive parenting,Question hook,Question > Answer > Evidence > CTA,Follow for more parenting tips
2024-02-11,Ambika Agarwal,https://www.instagram.com/true_parenting_story/p/76171066649/,389356,522740,33809,3512,9.59,100,[Transcript for 'Nature play benefits' — Failure confession format],Nature play benefits,What pediatricians wish parents knew,Relatable struggle,Hook > Story > Lesson > CTA,Follow for more parenting tips
2025-03-14,Shivani Kapoor,https://www.instagram.com/cafeparent/p/28354093437/,1210753,770448,55163,6182,5.07,100,[Transcript for 'Managing tantrums in public' — Story-based open loop format],Managing tantrums in public,The one thing nobody tells new moms,Question hook,Question > Answer > Evidence > CTA,Share with a parent friend
2024-12-21,3mguru,https://www.instagram.com/3mguru/reels/p/25578232755/,196563,266985,14686,1429,8.2,63.0,[Transcript for 'Sleep training methods' — Failure confession format],Sleep training methods,How I changed my approach after 3 years of struggling,Stat shock,Hook > Story > Lesson > CTA,Save this for later
2025-02-01,Manita Jain,https://www.instagram.com/babyobooks/p/36553351686/,1918122,1344251,164069,12575,9.21,100,[Transcript for 'Financial literacy for kids' — Question hook format],Financial literacy for kids,The tiny habit that transformed our mornings,Bold controversial statement,Hook > Story > Lesson > CTA,Comment your experience below
2025-03-30,Mikita,https://www.instagram.com/moneyforkids/p/61538935745/,1990749,1592483,194361,18702,10.7,100,[Transcript for 'Nature play benefits' — Bold controversial statement format],Nature play benefits,How I changed my approach after 3 years of struggling,Stat shock,Problem > Agitate > Solve,Tag a mom who needs this
2024-07-20,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/58854818803/,2031967,1236109,141832,7822,7.36,100,[Transcript for 'Managing tantrums in public' — Before vs After format],Managing tantrums in public,Science-backed method that actually works,Question hook,Problem > Agitate > Solve,DM me GUIDE for the free resource
2025-04-06,Hollie Mayes,https://www.instagram.com/hollie_mayes/p/55075678684/,1869528,1357788,250115,22131,14.56,100,[Transcript for 'ADHD parenting tips' — Myth busting format],ADHD parenting tips,What pediatricians wish parents knew,Bold controversial statement,Problem > Agitate > Solve,DM me GUIDE for the free resource
2024-02-02,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/89108461580/,387345,274712,57304,6504,16.47,100,[Transcript for 'Positive discipline techniques' — Bold controversial statement format],Positive discipline techniques,Stop blaming yourself — it's a system problem,Story-based open loop,Before > Turning point > After,Follow for more parenting tips
2024-10-05,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/98720594954/,1924670,1860488,245877,10714,13.33,100,[Transcript for 'Screen time limits for toddlers' — Before vs After format],Screen time limits for toddlers,Science-backed method that actually works,Before vs After,Question > Answer > Evidence > CTA,Link in bio for the full guide
2024-11-10,Ishinna B. Sadana,https://www.instagram.com/ishinna_b_sadana/p/23773709777/,1464073,1610875,210279,20721,15.78,100,[Transcript for 'ADHD parenting tips' — Relatable struggle format],ADHD parenting tips,How this changed my relationship with my toddler overnight,Bold controversial statement,Question > Answer > Evidence > CTA,Comment your experience below
2025-06-07,Rama Yadav,https://www.instagram.com/momofdiyan/p/62248036083/,534709,582760,78134,7384,15.99,100,[Transcript for 'Language development milestones' — Bold controversial statement format],Language development milestones,The tiny habit that transformed our mornings,Relatable struggle,Hook > Story > Lesson > CTA,Share with a parent friend
2024-09-20,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/51392194724/,1421936,1021500,118290,13762,9.29,100,[Transcript for 'Language development milestones' — Bold controversial statement format],Language development milestones,How I changed my approach after 3 years of struggling,Myth busting,Hook > Story > Lesson > CTA,Follow for more parenting tips
2024-09-02,Mikita,https://www.instagram.com/moneyforkids/p/76409899977/,787827,991543,33785,2049,4.55,100,[Transcript for 'Age-appropriate chores' — Relatable struggle format],Age-appropriate chores,The uncomfortable truth about modern childhood,Myth busting,Hook > Story > Lesson > CTA,DM me GUIDE for the free resource
2025-03-26,drtristha,https://www.instagram.com/drtristha/p/78908064876/,992826,738995,112226,9579,12.27,100,[Transcript for 'ADHD parenting tips' — Stat shock format],ADHD parenting tips,The one thing nobody tells new moms,Failure confession,Problem > Agitate > Solve,Link in bio for the full guide
2024-02-17,Mikita,https://www.instagram.com/moneyforkids/p/46916551399/,193631,127465,12347,547,6.66,64.0,[Transcript for 'Nature play benefits' — Bold controversial statement format],Nature play benefits,Why gentle parenting is not permissive parenting,Failure confession,Myth > Truth > Example > CTA,Link in bio for the full guide
2024-05-25,Supriya Malpani,https://www.instagram.com/parentingclassroom/p/38814314399/,1322736,1601761,185327,17573,15.34,100,[Transcript for 'Building emotional intelligence' — Relatable struggle format],Building emotional intelligence,Science-backed method that actually works,Before vs After,Question > Answer > Evidence > CTA,Follow for more parenting tips
2024-10-14,Sangeetha,https://www.instagram.com/sangeetharofficial/p/31744552721/,2453823,1850315,145250,3844,6.08,100,[Transcript for 'Age-appropriate chores' — Stat shock format],Age-appropriate chores,Most parents are doing it wrong — here's what research says,Stat shock,Before > Turning point > After,Comment your experience below
2024-02-13,Shivani Kapoor,https://www.instagram.com/cafeparent/p/62350448590/,2398437,2548979,157859,14832,7.2,100,[Transcript for 'Reading habits from age 1' — Failure confession format],Reading habits from age 1,What pediatricians wish parents knew,Before vs After,Myth > Truth > Example > CTA,Comment your experience below
2024-01-18,Payal V. Narang,https://www.instagram.com/playfulparenthood/p/70343757019/,1555036,2052059,164995,12335,11.4,100,[Transcript for 'Positive discipline techniques' — Failure confession format],Positive discipline techniques,Stop blaming yourself — it's a system problem,Story-based open loop,Problem > Agitate > Solve,Tag a mom who needs this
2024-05-27,Dr Medhat Abu Shaaban,https://www.instagram.com/doctormedhat/p/62237439657/,1637792,1960501,192124,18829,12.88,100,[Transcript for 'Teaching consent to toddlers' — Failure confession format],Teaching consent to toddlers,What pediatricians wish parents knew,Relatable struggle,Myth > Truth > Example > CTA,DM me GUIDE for the free resource
2024-07-22,Sneha Tapadia,https://www.instagram.com/tapadia.sneha/p/27551546473/,1901382,2553276,192881,6584,10.49,100,[Transcript for 'Managing tantrums in public' — Story-based open loop format],Managing tantrums in public,How this changed my relationship with my toddler overnight,Failure confession,Problem > Agitate > Solve,DM me GUIDE for the free resource
2024-08-19,Shivani Kapoor,https://www.instagram.com/cafeparent/p/98286349768/,1674439,1744417,182545,19198,12.05,100,[Transcript for 'Montessori at home' — Bold controversial statement format],Montessori at home,What pediatricians wish parents knew,Question hook,Myth > Truth > Example > CTA,Follow for more parenting tips
2024-04-12,Meg Rogerson,https://www.instagram.com/meg.rogerson_author/p/71629419689/,2462574,1763064,103715,10259,4.63,100,[Transcript for 'Reading habits from age 1' — Failure confession format],Reading habits from age 1,Most parents are doing it wrong — here's what research says,Stat shock,Question > Answer > Evidence > CTA,DM me GUIDE for the free resource
2024-05-03,Rama Yadav,https://www.instagram.com/momofdiyan/p/45141949006/,1052180,731453,126323,5521,12.53,100,[Transcript for 'Age-appropriate chores' — Stat shock format],Age-appropriate chores,Most parents are doing it wrong — here's what research says,Failure confession,Before > Turning point > After,Link in bio for the full guide
2025-01-11,Sangeetha,https://www.instagram.com/sangeetharofficial/p/55223663924/,320879,392691,18519,1129,6.12,100,[Transcript for 'Positive discipline techniques' — Before vs After format],Positive discipline techniques,The one thing nobody tells new moms,Story-based open loop,Hook > Story > Lesson > CTA,Link in bio for the full guide
2024-01-19,Parent Wisdom,https://www.instagram.com/parent.wisdom/p/34135409947/,1346853,1707468,100436,9342,8.15,100,[Transcript for 'Language development milestones' — Relatable struggle format],Language development milestones,The uncomfortable truth about modern childhood,Story-based open loop,Hook > Story > Lesson > CTA,Share with a parent friend
2024-01-30,drtristha,https://www.instagram.com/drtristha/p/16077775575/,1845406,2266101,263617,31629,16.0,100,[Transcript for 'Reading habits from age 1' — Story-based open loop format],Reading habits from age 1,Stop blaming yourself — it's a system problem,Before vs After,Hook > Story > Lesson > CTA,Share with a parent friend
2024-10-02,Manita Jain,https://www.instagram.com/babyobooks/p/63449176160/,9500,5917,554,43,6.28,10.0,[Transcript for 'Raising confident girls' — Stat shock format],Raising confident girls,How I changed my approach after 3 years of struggling,Failure confession,Myth > Truth > Example > CTA,Comment your experience below
2024-01-23,Sangeetha,https://www.instagram.com/sangeetharofficial/p/79036124442/,198796,147561,9534,448,5.02,70.0,[Transcript for 'Language development milestones' — Bold controversial statement format],Language development milestones,Stop blaming yourself — it's a system problem,Bold controversial statement,Myth > Truth > Example > CTA,Save this for later
